company,country,round_type,amount_usd,date,investors,sector,source_url,source_type,confidence,signal,first_seen_date,linkedin_person,linkedin_post_url
Exato Digital,Brazil,series-a,3800000,2025-11-19,Bradesco; Quartzo Capital,background check data,https://latamlist.com/category/startup-news/funding/page/13/,latamlist,high,expansion,2026-07-14,,
PX,Brazil,other,47000000,2025-11-19,Bicycle Capital,,https://latamlist.com/category/startup-news/funding/page/13/,latamlist,high,other,2026-07-14,,
Loomy,Brazil,growth,9400000,2025-11-17,EXT Capital,,https://latamlist.com/category/startup-news/funding/page/14/,latamlist,high,scale,2026-07-14,,
Blis AI,Brazil,pre-seed,190000,2025-11-14,Magela Capital; Stamina Ventures,AI agents,https://latamlist.com/category/startup-news/funding/page/14/,latamlist,high,early,2026-07-14,,
Credix,Brazil,other,93900000,2025-11-11,BTG Pactual; Pátria Investments,B2B credit,https://latamlist.com/category/startup-news/funding/page/14/,latamlist,high,other,2026-07-14,,
Xccelera,Mexico,seed,1000000,2025-11-11,,AI B2B software,https://fundediq.co/funded-startups-seed-mexico/,latamlist,high,early,2026-07-14,,
Addi,Colombia,debt,71000000,2025-11-10,Goldman Sachs; Fasanara Capital; BBVA Spark,fintech BNPL,https://fintech.global/2025/11/10/addi-secures-71m-credit-upsize-to-boost-growth/,latamlist,high,other,2026-07-14,,
Kiwi,Puerto Rico,debt,100000000,2025-11-05,Community Investment Management,fintech consumer credit,https://www.businesswire.com/news/home/20251104691355/en/Kiwi-Lands-$100-Million-Credit-Facility-to-Serve-U.S.-Hispanic-Consumers,latamlist,high,other,2026-07-14,,
Patagon AI,Argentina,seed,2750000,2025-11-04,Kfund; 17Sigma; ONEVC; Norte Ventures,AI sales agents,https://latamlist.com/patagon-ai-raises-2-7m-seed-round/,latamlist,high,early,2026-07-14,,
Cofers,Mexico,seed,1500000,2025-11,,AI financial operations,https://growthlist.co/mexico-startups/,latamlist,high,early,2026-07-14,,
Sistema.bio,Mexico,other,,2025-11,,biogas agtech energy,https://growthlist.co/mexico-startups/,latamlist,high,other,2026-07-14,,
Xinú,Mexico,other,,2025-11,,fragrance consumer brand,https://growthlist.co/mexico-startups/,latamlist,high,other,2026-07-14,,
Cromodata,Argentina,pre-seed,1200000,2025-11,PharmStars Ventures; Sancus Capital,health data infrastructure,https://blog.emprelatam.com/2025/11/05/cromodata-ia-salud-latinoamerica/,latamlist,high,early,2026-07-14,,
Rhino,Brazil,other,2700000,2025-10-31,TMT Investments; AngelDecks,mobility fleet,https://latamlist.com/category/startup-news/funding/page/15/,latamlist,high,other,2026-07-14,,
GamdSports,Brazil,other,11000000,2025-10-31,private sports fund,sports tech,https://latamlist.com/category/startup-news/funding/page/15/,latamlist,high,other,2026-07-14,,
Vammo,Brazil,series-b,45000000,2025-10-31,The Ecosystem Integrity Fund; Qualcomm,electric motorcycles,https://latamlist.com/category/startup-news/funding/page/15/,latamlist,high,expansion,2026-07-14,,
ISA Saúde,Brazil,series-b,30000000,2025-10-30,IFC,health plans,https://latamlist.com/category/startup-news/funding/page/15/,latamlist,high,expansion,2026-07-14,,
Twiggy,Brazil,pre-seed,600000,2025-10-29,FUNSES; Bossa Nova,,https://latamlist.com/category/startup-news/funding/page/15/,latamlist,high,early,2026-07-14,,
Velotax,Brazil,series-a,23000000,2025-10-27,QED Investors; Valor Capital; Picus Capital,tax fintech,https://latamlist.com/category/startup-news/funding/page/15/,latamlist,high,expansion,2026-07-14,,
Welli,Colombia,other,75000000,2025-10-27,Community Investment Management (CIM),fintech medical financing,https://latamlist.com/welli-fintech-raises-75m-in-structured-debt/,latamlist,high,other,2026-07-14,,
Draiven,Brazil,pre-seed,130000,2025-10-25,,,https://latamlist.com/category/startup-news/funding/page/16/,latamlist,high,early,2026-07-14,,
IslaIntel,Puerto Rico,seed,,2025-10-25,,AI consulting automation,https://www.einpresswire.com/article/861373640/islaintel-launches-seed-fundraising-round-to-accelerate-ai-transformation-in-the-caribbean-and-latin-america,latamlist,high,early,2026-07-14,,
Lumx,Brazil,other,3400000,2025-10-24,Indicator Capital; CMT Digital,blockchain infrastructure,https://latamlist.com/category/startup-news/funding/page/16/,latamlist,high,other,2026-07-14,,
Aureo,Mexico,pre-seed,1100000,2025-10-20,Early Riders,Bitcoin custody services,https://bitcoinmagazine.com/business/early-riders-backs-aureo-with-1-1m-for-secure-bitcoin-custody-in-latin-america,latamlist,high,early,2026-07-14,,
Telepatia AI,Colombia,seed,9000000,2025-10-20,A-Star; Canary; Abstract; Picus; SV Angel; Nido,healthtech clinical AI,https://latamlist.com/telepatia-ai-raises-9m-seed-round/,latamlist,high,early,2026-07-14,,
Agent.Shop,Brazil,seed,1000000,2025-10-16,,AI commerce agents,https://latamlist.com/category/startup-news/funding/page/16/,latamlist,high,early,2026-07-14,,
Nekt,Brazil,other,230000,2025-10-16,Norte Ventures,data integration,https://latamlist.com/category/startup-news/funding/page/16/,latamlist,high,other,2026-07-14,,
zMatch,Brazil,pre-seed,1800000,2025-10-16,angel investors,,https://latamlist.com/category/startup-news/funding/page/16/,latamlist,high,early,2026-07-14,,
Bull,Brazil,pre-seed,1800000,2025-10-16,Canary; Scale Up Ventures,payroll loans fintech,https://startupi.com.br/bull-capta-r-10-milhoes-em-pre-seed/,latamlist,high,early,2026-07-14,,
Creditú,Chile,series-a,6000000,2025-10-15,Alive Ventures; L4 Venture Builder,fintech mortgage lending,https://g5noticias.cl/2025/10/15/creditu-cierra-serie-a-por-usd-6-millones-para-beneficiar-con-el-hogar-propio-a-mas-de-50-mil-familias-de-aqui-a-2030-2/,latamlist,high,expansion,2026-07-14,,
Pagaleve,Brazil,growth,29000000,2025-10-13,,BNPL payments,https://latamlist.com/category/startup-news/funding/page/17/,latamlist,high,scale,2026-07-14,,
Akua,Colombia,seed,8500000,2025-10-13,Flourish Ventures; Cathay Latam; Atlantico; Honey Island; 4UM Investimentos; Krealo,fintech payments infrastructure,https://latamlist.com/colombian-paytech-akua-raises-8-5m-seed-round/,latamlist,high,early,2026-07-14,,
Kanastra,Brazil,series-b,30000000,2025-10-10,F-Prime,securitization infrastructure,https://latamlist.com/category/startup-news/funding/page/17/,latamlist,high,expansion,2026-07-14,,
Bold,Colombia,series-d,40000000,2025-10-10,General Atlantic; InQlab; Cóndor Inverlink; IFC,fintech digital payments,https://latamlist.com/colombian-fintech-bold-raises-40m-funding-round/,latamlist,high,scale,2026-07-14,,
Lemon,Argentina,series-b,20000000,2025-10-08,F-Prime; ParaFi; DRW Venture Capital; Endeavor Catalyst; VanEck,crypto wallet fintech,https://www.bloomberglinea.com/latinoamerica/argentina/lemon-obtiene-us20-millones-en-ronda-de-inversion-que-usara-para-expandirse-en-la-region/,latamlist,high,expansion,2026-07-14,,
Rankmi,Chile,series-a,11000000,2025-10-07,Kayyak Ventures; IDB Lab,HR tech people management,https://www.latamrepublic.com/kayyak-ventures-led-a-usd11m-series-a-investment-for-rankmi-funding-bold-ai-first-transformation/,latamlist,high,expansion,2026-07-14,,
Grupalia,Mexico,pre-seed,4800000,2025-10-04,Platanus; Semilla Ventures; Innogen Capital; Addem Capital,group lending neobank,https://latamlist.com/grupalia-raises-4-8m-seed-round/,latamlist,high,early,2026-07-14,,
metaBIX Biotech,Uruguay,other,1000000,2025-10-03,AIR Capital; Danta Fund; The Board Peru; Angel Hub,AI biotech animal health,https://latamlist.com/metabix-biotech-raises-over-1m/,latamlist,high,other,2026-07-14,,
MiChamba,Mexico,pre-seed,2250000,2025-10-01,Wollef; Audaz Capital; Nido Ventures,WhatsApp business management,https://dplnews.com/michamba-levanta-ronda-pre-seed-2-25-mdd-de-wollef/,latamlist,high,early,2026-07-14,,
Ginia,Mexico,pre-seed,1700000,2025-10,Wollef; NFX; Latitud,AI career edtech,https://latamlist.com/ginia-raises-1-7m-pre-seed-round-led-by-wollef/,latamlist,high,early,2026-07-14,,
Plata,Mexico,series-b,250000000,2025-10,,digital banking,https://growthlist.co/mexico-startups/,latamlist,high,expansion,2026-07-14,,
Takenos,Argentina,seed,5000000,2025-10,Variant; Lattice; North Island Ventures; Reverie; Nascent,cross-border digital wallet,https://www.infobae.com/economia/networking/2025/10/30/la-fintech-takenos-levanto-usd-5-millones-en-una-ronda-de-inversion-liderada-por-fondos-de-eeuu/,latamlist,high,early,2026-07-14,,
ONE,Argentina,seed,1200000,2025-10,Alaya Capital; Draper Cygnus; Sancor Seguros Ventures,blockchain cross-border payments,https://latamlist.com/argentinian-fintech-one-raises-1-2m-seed-round/,latamlist,high,early,2026-07-14,,
Nunatak Biotech,Argentina,pre-seed,670000,2025-10,Eatable Adventures; Italian food consortium,agri-food biotech bioinputs,https://eleconomista.com.ar/negocios/rondas-inversion-startups-son-seed-serie-a-b-c-empresas-argentinas-ya-transitaron-n94603,latamlist,high,early,2026-07-14,,
PreGen,Argentina,pre-seed,250000,2025-10,GRIDX,genomic cancer diagnostics,https://www.cronista.com/apertura/emprendedoress/cinco-innovadoras-soluciones-argentinas-accedieron-al-fondo-de-inversion-mas-grande-de-america-latina/,latamlist,high,early,2026-07-14,,
BioClé,Argentina,pre-seed,250000,2025-10,GRIDX,food biotech bioactives,https://www.cronista.com/apertura/emprendedoress/cinco-innovadoras-soluciones-argentinas-accedieron-al-fondo-de-inversion-mas-grande-de-america-latina/,latamlist,high,early,2026-07-14,,
Resistia,Argentina,pre-seed,250000,2025-10,GRIDX,antibiotic resistance biotech,https://www.cronista.com/apertura/emprendedoress/cinco-innovadoras-soluciones-argentinas-accedieron-al-fondo-de-inversion-mas-grande-de-america-latina/,latamlist,high,early,2026-07-14,,
Calfix,Argentina,pre-seed,250000,2025-10,GRIDX,construction biotech,https://www.cronista.com/apertura/emprendedoress/cinco-innovadoras-soluciones-argentinas-accedieron-al-fondo-de-inversion-mas-grande-de-america-latina/,latamlist,high,early,2026-07-14,,
Mavios,Argentina,pre-seed,250000,2025-10,GRIDX,bioprocess AI digital twins,https://www.cronista.com/apertura/emprendedoress/cinco-innovadoras-soluciones-argentinas-accedieron-al-fondo-de-inversion-mas-grande-de-america-latina/,latamlist,high,early,2026-07-14,,
Eywa Biotech,Uruguay,seed,2500000,2025-10,Tim Draper; Draper Cygnus; Panambi Ventures; GRIDX,psychedelics biotech mental health,https://www.latamrepublic.com/eywa-biotech-raises-usd-2-5-million-led-by-tim-draper-to-scale-sustainable-psilocybin-production/,latamlist,high,early,2026-07-14,,
Lastro,Brazil,series-a,16000000,2025-09-30,Prosus Ventures,rental fintech,https://latamlist.com/category/startup-news/funding/page/18/,latamlist,high,expansion,2026-07-14,,
WorkAI,Brazil,other,1000000,2025-09-30,M2 Digital,workplace AI,https://latamlist.com/category/startup-news/funding/page/18/,latamlist,high,other,2026-07-14,,
CredAluga,Brazil,series-a,11000000,2025-09-30,Provence Partners,rental guarantee fintech,https://latamlist.com/category/startup-news/funding/page/18/,latamlist,high,expansion,2026-07-14,,
Zensi,Chile,other,316000,2025-09-30,Broota DS3 Venture Capital,IoT smart metering cleantech,https://portalinnova.cl/startup-chilena-zensi-levanta-capital-a-traves-de-broota-para-consolidar-su-operacion-en-chile-y-comenzar-su-expansion-regional/,latamlist,high,other,2026-07-14,,
WOTS,Chile,pre-seed,600000,2025-09-26,Mexican/Chilean angels; Moov Media Group,AI enterprise orchestration,https://forbes.cl/negocios/2025-09-26/wots-startup-chilena-de-ia-levanta-600-000-dolares-para-impulsar-expansion-en-mexico-y-centroamerica,latamlist,high,early,2026-07-14,,
Caf,Brazil,other,9000000,2025-09-25,L4 Venture Builder,digital identity,https://latamlist.com/category/startup-news/funding/page/18/,latamlist,high,other,2026-07-14,,
Enter,Brazil,other,35000000,2025-09-25,Founders Fund,legal AI,https://www.law.com/legaltechnews/2025/09/29/brazilian-legal-ai-startup-enter-raises-35-million/,latamlist,high,other,2026-07-14,,
Chefia,Brazil,seed,190000,2025-09-19,Investidores.vc; Anjos do Brasil,,https://latamlist.com/category/startup-news/funding/page/18/,latamlist,high,early,2026-07-14,,
Olho do Dono,Brazil,other,410000,2025-09-19,,livestock agtech,https://latamlist.com/category/startup-news/funding/page/18/,latamlist,high,other,2026-07-14,,
Infleet,Brazil,series-a,7500000,2025-09-19,Canary; Indicator Capital,fleet management,https://latamlist.com/category/startup-news/funding/page/19/,latamlist,high,expansion,2026-07-14,,
CUB,Brazil,series-a,5500000,2025-09-19,,,https://latamlist.com/category/startup-news/funding/page/19/,latamlist,high,expansion,2026-07-14,,
RevisaPrev,Brazil,seed,700000,2025-09-18,Domo VC,social security legaltech,https://latamlist.com/category/startup-news/funding/page/19/,latamlist,high,early,2026-07-14,,
Layers,Brazil,other,3900000,2025-09-17,Constellation CSI,edtech,https://latamlist.com/category/startup-news/funding/page/19/,latamlist,high,other,2026-07-14,,
Ume,Brazil,series-b,21800000,2025-09-17,,consumer credit,https://latamlist.com/category/startup-news/funding/page/19/,latamlist,high,expansion,2026-07-14,,
Arvo,Brazil,series-a,20000000,2025-09-17,Kaszek; Base10 Partners,health claims AI,https://latamlist.com/category/startup-news/funding/page/19/,latamlist,high,expansion,2026-07-14,,
A5X,Brazil,series-c,37600000,2025-09-17,,derivatives exchange,https://latamlist.com/category/startup-news/funding/page/19/,latamlist,high,expansion,2026-07-14,,
Omie,Brazil,growth,160000000,2025-09-11,Partners Group,SMB ERP,https://latamlist.com/category/startup-news/funding/page/19/,latamlist,high,scale,2026-07-14,,
Kamino,Brazil,series-a,10000000,2025-09-11,Flourish Ventures; Quona Capital,corporate finance fintech,https://latamlist.com/category/startup-news/funding/page/20/,latamlist,high,expansion,2026-07-14,,
SunCompany,Colombia,series-b,14800000,2025-09-11,Bancolombia; SEAF,renewable solar energy,https://latamlist.com/suncompany-secures-15m-to-expand-clean-energy-operations/,latamlist,high,expansion,2026-07-14,,
180 Seguros,Brazil,other,9200000,2025-09-08,8VC,insurtech,https://latamlist.com/category/startup-news/funding/page/20/,latamlist,high,other,2026-07-14,,
PathPilot,Peru,seed,1300000,2025-09-05,,AI agents fintech,https://ecosistemastartup.com/startup-peruana-de-ia-pathpilot-recauda-us13-millones-para-impulsar-innovacion/,latamlist,high,early,2026-07-14,,
Kapital,Mexico,series-c,86000000,2025-09-02,Tribe Capital; Pelion Ventures; Y Combinator,SME banking fintech,https://startupslatam.com/kapital-se-convierte-en-unicornio-tras-ronda-de-us86m/,latamlist,high,expansion,2026-07-14,,
Somos Internet,Colombia,series-a,18000000,2025-09-01,Union Square Ventures; Ribbit Capital,telecom fiber internet,https://latamlist.com/somos-internet-raises-18m-series-a-round/,latamlist,high,expansion,2026-07-14,,
Kira,Mexico,seed,6700000,2025-09,Blockchange Ventures; Stellar Development Foundation; Vamos Ventures,embedded fintech stablecoins,https://latamlist.com/kira-raises-6-7m-seed-round-led-by-blockchange-venture-capital/,latamlist,high,early,2026-07-14,,
VEMO,Mexico,growth,250000000,2025-09,Vision Ridge Partners,electric mobility,https://latamobility.com/vemo-asegura-250-millones-de-dolares-para-acelerar-la-movilidad-electrica-en-mexico/,latamlist,high,scale,2026-07-14,,
Magnar AI,Chile,pre-seed,300000,2025-09,Buenaonda; Platanus Ventures; Punto Cero Ventures,legal AI legaltech,https://www.df.cl/df-lab/innovacion-y-startups/fundadores-de-cornershop-y-platanus-ventures-invierten-en-startup-que,latamlist,high,early,2026-07-14,,
VAAS,Brazil,series-a,3700000,2025-08-29,Headline,,https://latamlist.com/category/startup-news/funding/page/21/,latamlist,high,expansion,2026-07-14,,
Mercado de Recebíveis,Brazil,growth,,2025-08-29,Headline,receivables marketplace,https://latamlist.com/category/startup-news/funding/page/21/,latamlist,high,scale,2026-07-14,,
Loto,Colombia,pre-seed,1000000,2025-08-29,Fen Ventures; Crestone VC; QAPU Ventures; Desygn Capital,fintech SME expense management,https://latamlist.com/loto-raises-1m-pre-seed-round/,latamlist,high,early,2026-07-14,,
Momento Seguros,Mexico,series-a,10250000,2025-08-28,Hedosophia; American Family Ventures; Foundation Capital; Wollef; Y Combinator,digital auto insurance,https://www.axios.com/pro/fintech-deals/2025/08/28/mexican-auto-insurer-momento-seguros-10-million,latamlist,high,expansion,2026-07-14,,
Starian,Brazil,growth,115000000,2025-08-27,General Atlantic,,https://latamlist.com/category/startup-news/funding/page/21/,latamlist,high,scale,2026-07-14,,
Marisa.Care,Brazil,pre-seed,1500000,2025-08-26,Afya,elderly care healthtech,https://latamlist.com/category/startup-news/funding/page/21/,latamlist,high,early,2026-07-14,,
Guama,Colombia,seed,1500000,2025-08-22,Salkantay Ventures; Story Ventures; Hustle Fund; Techstars,fintech credit cards,https://latamlist.com/guama-raises-1-5m-seed-round/,latamlist,high,early,2026-07-14,,
AgendaPro,Chile,series-b,35000000,2025-08-20,Riverwood Capital; Kayyak Ventures,SaaS beauty wellness,https://www.df.cl/df-mas/punto-de-partida/agendapro-levanta-serie-b-de-us-35-millones-con-riverwood-como-lider,latamlist,high,expansion,2026-07-14,,
AlphaGo,Brazil,pre-seed,2000000,2025-08-19,Black Mamba Holding,,https://latamlist.com/category/startup-news/funding/page/22/,latamlist,high,early,2026-07-14,,
Iniciador,Brazil,growth,6000000,2025-08-19,Valor Capital,open finance infrastructure,https://latamlist.com/category/startup-news/funding/page/22/,latamlist,high,scale,2026-07-14,,
Liquid,Brazil,seed,2100000,2025-08-19,SaaSholic,,https://latamlist.com/category/startup-news/funding/page/22/,latamlist,high,early,2026-07-14,,
Gokei,Chile,pre-seed,200000,2025-08-18,Buenaonda; Matías Daire; José Tomás Daire; Georges Bourguignon,health insurtech reimbursements,https://www.descubre.vc/noticia/gokei-cierra-ronda-con-fundadores-de-cornershop-para-reforzar-su-plataforma-de-reembolsos-m-dicos-2025-08-18,latamlist,high,early,2026-07-14,,
Gaio,Brazil,pre-seed,,2025-08-15,Link Ventures,,https://latamlist.com/category/startup-news/funding/page/22/,latamlist,high,early,2026-07-14,,
Pipeimob,Brazil,seed,2800000,2025-08-15,Headline,proptech CRM,https://latamlist.com/category/startup-news/funding/page/22/,latamlist,high,early,2026-07-14,,
Kunzapp,Mexico,seed,2000000,2025-08-15,Wollef; The Hustle Fund; Wayra; Fen Ventures,SaaS spend management,https://latamlist.com/kunzapp-raises-2m-seed-round-from-wollef/,latamlist,high,early,2026-07-14,,
Leggal,Brazil,pre-seed,315000,2025-08-12,DOMO.VC; Anjos do Brasil,legaltech,https://latamlist.com/category/startup-news/funding/page/23/,latamlist,high,early,2026-07-14,,
Radix Florestal,Brazil,other,2000000,2025-08-12,Ecosia,forestry climate tech,https://latamlist.com/category/startup-news/funding/page/23/,latamlist,high,other,2026-07-14,,
Equip,Peru,seed,1400000,2025-08-12,Salkantay Ventures; Alaya Capital; Cofide,B2B construction materials,https://gestion.pe/economia/empresas/startup-peruana-equip-capta-nueva-inversion-para-escalar-su-plataforma-b2b-y-llegar-a-mexico-noticia/,latamlist,high,early,2026-07-14,,
IORQ,Brazil,seed,6400000,2025-08-08,Monashees; ONEVC; Upload Ventures; Norte Ventures,,https://latamlist.com/category/startup-news/funding/page/23/,latamlist,high,early,2026-07-14,,
Monato,Mexico,seed,13000000,2025-08-08,Monashees; FinTech Collective; IGNIA; Clocktower,API-first fintech payments,https://latamlist.com/monato-raises-13m-to-expand-services/,latamlist,high,early,2026-07-14,,
Saf.money,Guatemala,pre-seed,,2025-08-08,Fulgur Ventures; Plan B; Initial Capital; 1A1z,cross-border paytech,https://latamlist.com/saf-money-raises-pre-seed-to-scale-cross-border-paytech/,latamlist,high,early,2026-07-14,,
Creditop,Colombia,series-a,3700000,2025-08-06,Collide Capital; Clocktower; Alaya Capital; Amador Holdings; Newtopia; Driven VC,fintech loan marketplace,https://colombiafintech.co/2025/08/06/comunicado-creditop-recibe-usd-37-millones-para-escalar-su-red-de-financiamiento-e-impulsar-el-comercio-regional/,latamlist,high,expansion,2026-07-14,,
Kira,Mexico,pre-seed,2000000,2025-08,,fintech payments infrastructure,https://www.startupjournal.io/article/kira-levanta-6M,latamlist,high,early,2026-07-14,,
Digitt,Mexico,series-a,10000000,2025-08,Yolo Investments; IGNIA; Capria Ventures,credit card refinancing,https://latamlist.com/digitt-raises-10m-series-a-led-by-yolo-investments/,latamlist,high,expansion,2026-07-14,,
Zumma,Mexico,seed,,2025-08,Wollef; Alamo Angels; MassChallenge,AI finance automation,https://growthlist.co/mexico-startups/,latamlist,high,early,2026-07-14,,
Bitanav,Paraguay,seed,20000,2025-08,InnovandoPY (MIC Paraguay),river navigation logistics,https://www.mic.gov.py/innovandopy-adjudica-un-total-usd-140-000-en-capital-semilla-para-siete-startups-paraguayas/,latamlist,high,early,2026-07-14,,
HomeBridge,Paraguay,seed,20000,2025-08,InnovandoPY (MIC Paraguay),mortgage fintech,https://www.mic.gov.py/innovandopy-adjudica-un-total-usd-140-000-en-capital-semilla-para-siete-startups-paraguayas/,latamlist,high,early,2026-07-14,,
HappyLiving Lat,Paraguay,seed,20000,2025-08,InnovandoPY (MIC Paraguay),AI property management,https://www.mic.gov.py/innovandopy-adjudica-un-total-usd-140-000-en-capital-semilla-para-siete-startups-paraguayas/,latamlist,high,early,2026-07-14,,
Vetscate,Paraguay,seed,20000,2025-08,InnovandoPY (MIC Paraguay),veterinary care platform,https://www.mic.gov.py/innovandopy-adjudica-un-total-usd-140-000-en-capital-semilla-para-siete-startups-paraguayas/,latamlist,high,early,2026-07-14,,
Meik,Paraguay,seed,20000,2025-08,InnovandoPY (MIC Paraguay),STEAM edtech for children,https://www.mic.gov.py/innovandopy-adjudica-un-total-usd-140-000-en-capital-semilla-para-siete-startups-paraguayas/,latamlist,high,early,2026-07-14,,
Pimer,Paraguay,seed,20000,2025-08,InnovandoPY (MIC Paraguay),home services marketplace,https://www.mic.gov.py/innovandopy-adjudica-un-total-usd-140-000-en-capital-semilla-para-siete-startups-paraguayas/,latamlist,high,early,2026-07-14,,
Tiflo Maze,Paraguay,seed,20000,2025-08,InnovandoPY (MIC Paraguay),VR inclusive education,https://www.mic.gov.py/innovandopy-adjudica-un-total-usd-140-000-en-capital-semilla-para-siete-startups-paraguayas/,latamlist,high,early,2026-07-14,,
Hunty,Colombia,seed,1000000,2025-08,Cometa Ventures; Matterscale; Newtopia; Kalei Ventures,HR tech AI recruiting,https://app.dealroom.co/news/feed/hunty-secures-1m-for-ai-recruitment,latamlist,high,early,2026-07-14,,
Demafront,Chile,pre-seed,500000,2025-08,Pedro Muzzio,supply chain inventory SaaS,https://portalinnova.cl/demafront-levanta-us500-mil-y-se-expande-a-mexico-con-su-plataforma-de-automatizacion-de-gestion-de-inventarios/,latamlist,high,early,2026-07-14,,
MyWorkIn,Peru,pre-seed,40000,2025-08,StartUp Perú,edtech employability AI,https://startupslatam.com/myworkin-la-startup-peruana-que-revoluciona-la-empleabilidad-universitaria-con-inteligencia-artificial/,latamlist,high,early,2026-07-14,,
QI Tech,Brazil,series-b,63000000,2025-07-31,General Atlantic,banking infrastructure,https://latamlist.com/category/startup-news/funding/page/24/,latamlist,high,expansion,2026-07-14,,
Tako,Brazil,other,18000000,2025-07-31,Ribbit Capital; Andreessen Horowitz,payroll HR platform,https://latamlist.com/category/startup-news/funding/page/24/,latamlist,high,other,2026-07-14,,
Juvo,Brazil,growth,11500000,2025-07-31,,,https://latamlist.com/category/startup-news/funding/page/24/,latamlist,high,scale,2026-07-14,,
Neurogram,Brazil,seed,3000000,2025-07-31,,,https://latamlist.com/category/startup-news/funding/page/24/,latamlist,high,early,2026-07-14,,
Fu2re,Brazil,other,2200000,2025-07-25,Copel Ventures; Indicator Capital,AI automation,https://latamlist.com/category/startup-news/funding/page/24/,latamlist,high,other,2026-07-14,,
Woba,Brazil,other,13500000,2025-07-21,Bewater; Kaszek,flexible workspaces,https://latamlist.com/category/startup-news/funding/page/24/,latamlist,high,other,2026-07-14,,
NG.Cash,Brazil,series-b,27000000,2025-07-17,L4 Venture Builder,teen digital bank,https://latamlist.com/category/startup-news/funding/page/24/,latamlist,high,expansion,2026-07-14,,
Canopy,Brazil,other,100000000,2025-07-17,Bessemer Venture Partners; Cloud9 Capital,,https://latamlist.com/category/startup-news/funding/page/24/,latamlist,high,other,2026-07-14,,
Mango,Mexico,seed,3000000,2025-07-15,Ironspring Ventures,construction fintech,https://dplnews.com/la-fintech-mango-quiere-digitalizar-la-construccion-en-mexico-levanta-3-millones-para-escalar-su-plataforma/,latamlist,high,early,2026-07-14,,
Neon,Brazil,other,129000000,2025-07-14,IFC,digital bank,https://latamlist.com/category/startup-news/funding/page/25/,latamlist,high,other,2026-07-14,,
AlugaMais,Brazil,other,2000000,2025-07-07,SRM Ventures,rental proptech,https://latamlist.com/category/startup-news/funding/page/25/,latamlist,high,other,2026-07-14,,
Cirkula,Peru,other,500000,2025-07-06,Peru/Ecuador angels,foodtech food-waste marketplace,https://startupslatam.com/cirkula-la-startup-peruana-que-combate-el-desperdicio-de-alimentos-con-tecnologia-y-sostenibilidad-llega-a-ecuador/,latamlist,high,other,2026-07-14,,
BotCity,Dominican Republic,seed,,2025-07-03,DINAMICA II Initiative,digital automation RPA,https://www.intec.edu.do/en/notas-de-prensa/item/veinte-emprendimientos-reciben-mas-de-usd-265000-del-programa-regional-de-capital-semilla-a-traves-del-centro-mipymes-intec,latamlist,high,early,2026-07-14,,
LicitaHoy,Dominican Republic,seed,,2025-07-03,DINAMICA II Initiative,public procurement tech,https://www.intec.edu.do/en/notas-de-prensa/item/veinte-emprendimientos-reciben-mas-de-usd-265000-del-programa-regional-de-capital-semilla-a-traves-del-centro-mipymes-intec,latamlist,high,early,2026-07-14,,
Planix,Dominican Republic,seed,,2025-07-03,DINAMICA II Initiative,green tech sustainability,https://www.intec.edu.do/en/notas-de-prensa/item/veinte-emprendimientos-reciben-mas-de-usd-265000-del-programa-regional-de-capital-semilla-a-traves-del-centro-mipymes-intec,latamlist,high,early,2026-07-14,,
Klar,Mexico,series-c,190000000,2025-07-01,,digital banking fintech,https://latamlist.com/mexican-fintech-klar-raises-190m-series-c/,latamlist,high,expansion,2026-07-14,,
Juztina,Peru,seed,400000,2025,Grupo HNG,legal AI legaltech,https://forbes.pe/negocios/2026-01-22/juztina-conoce-la-legaltech-peruana-que-planea-triplicar-sus-ingresos-y-consolidar-su-estrategia-regional-este-ano/,latamlist,high,early,2026-07-14,,
Domus AI,Peru,pre-seed,84000,2025,,real estate AI proptech,https://www.nucamp.co/blog/coding-bootcamp-peru-per-perus-top-10-startups-that-tech-professionals-should-watch-out-for-in-2025,latamlist,high,early,2026-07-14,,
TesaBio.ai,Paraguay,pre-seed,,,GridX,AI drug discovery biotech,https://www.abc.com.py/negocios/2026/06/26/el-mapa-de-las-startups-paraguayas-con-mayor-proyeccion/,latamlist,high,early,2026-07-14,,
Brendi,Brazil,,6600000,,Propel Ventures; Big Bets; Norte Ventures; Citrino; Patrick Sigrist; Daniel Silva,WhatsApp AI restaurant commerce,https://juliadeluca.substack.com/p/latam-tech-weekly-744,newsletter,medium,other,2026-07-16,,
